id, sex, country
826 , 1 , 2
827 , 1 , 2
828 , 1 , 2
829 , 1 , 2
830 , 1 , 2
831 , 1 , 2
832 , 0 , 0
833 , 1 , 2
834 , 1 , 2
835 , 1 , 2
836 , 1 , 2
837 , 1 , 2
838 , 1 , 2
839 , 1 , 2
840 , 0 , 0
841 , 2 , 0
842 , 2 , 2
843 , 0 , 0
844 , 1 , 1
845 , 1 , 0
846 , 0 , 0
847 , 1 , 2
848 , 0 , 0
849 , 1 , 0
850 , 0 , 0
851 , 1 , 2
852 , 1 , 2
853 , 1 , 2
854 , 1 , 2
855 , 0 , 0
856 , 0 , 0
857 , 0 , 0
858 , 1 , 3
859 , 1 , 3
860 , 1 , 2
861 , 1 , 2
862 , 1 , 3
863 , 1 , 3
864 , 0 , 0
865 , 1 , 0
866 , 0 , 0
867 , 0 , 0
868 , 1 , 2
869 , 1 , 2
870 , 1 , 2
871 , 0 , 0
872 , 1 , 2
873 , 1 , 2
874 , 1 , 2
875 , 1 , 2
876 , 1 , 2
877 , 2 , 2
878 , 2 , 2
879 , 1 , 2
880 , 1 , 2
881 , 1 , 2
882 , 1 , 2
883 , 0 , 0
884 , 1 , 2
885 , 0 , 0
886 , 1 , 2
887 , 1 , 2
888 , 1 , 2
889 , 1 , 2
890 , 2 , 2
891 , 2 , 2
892 , 2 , 2
893 , 2 , 0
894 , 0 , 0
895 , 1 , 3
896 , 1 , 1
897 , 1 , 1
898 , 1 , 1
899 , 1 , 3
900 , 0 , 0
901 , 1 , 3
902 , 0 , 0
903 , 0 , 0
904 , 2 , 2
905 , 1 , 3
906 , 2 , 3
907 , 1 , 3
908 , 0 , 0
909 , 2 , 2
910 , 1 , 2
911 , 1 , 2
912 , 1 , 3
913 , 1 , 2
914 , 1 , 2
915 , 1 , 2
916 , 1 , 2
917 , 1 , 2
918 , 1 , 2
919 , 1 , 2
920 , 1 , 2
921 , 1 , 2
922 , 1 , 2
923 , 1 , 2
924 , 1 , 2
925 , 1 , 2
926 , 1 , 2
927 , 1 , 2
928 , 2 , 2
929 , 0 , 0
930 , 1 , 2
931 , 1 , 2
932 , 1 , 2
933 , 1 , 2
934 , 1 , 2
935 , 1 , 2
936 , 1 , 2
937 , 1 , 2
938 , 1 , 2
939 , 1 , 2
940 , 1 , 2
941 , 0 , 0
942 , 1 , 2
943 , 1 , 2
944 , 1 , 2
945 , 0 , 0
946 , 1 , 2
947 , 2 , 2
948 , 0 , 0
949 , 0 , 0
950 , 1 , 2
951 , 1 , 2
952 , 1 , 2
953 , 1 , 2
954 , 1 , 2
955 , 1 , 2
956 , 1 , 2
957 , 1 , 2
958 , 1 , 2
959 , 1 , 2
960 , 2 , 2
961 , 1 , 2
962 , 0 , 0
963 , 1 , 3
964 , 1 , 1
965 , 1 , 1
966 , 1 , 1
967 , 1 , 1
968 , 1 , 1
969 , 1 , 1
970 , 1 , 1
971 , 1 , 1
972 , 1 , 1
973 , 1 , 1
974 , 1 , 1
975 , 0 , 0
976 , 1 , 1
977 , 1 , 1
978 , 1 , 1
979 , 1 , 1
980 , 1 , 1
981 , 2 , 1
982 , 2 , 1
983 , 1 , 3
984 , 1 , 2
985 , 1 , 2
986 , 1 , 2
987 , 1 , 2
988 , 2 , 1
989 , 1 , 2
990 , 1 , 2
991 , 2 , 2
992 , 1 , 2
993 , 1 , 1
994 , 2 , 2
995 , 1 , 1
996 , 0 , 0
997 , 1 , 3
998 , 2 , 2
999 , 1 , 2
1000 , 1 , 2
1001 , 1 , 2
1002 , 1 , 2
1003 , 2 , 2
1004 , 1 , 2
1005 , 0 , 0
1006 , 1 , 2
1007 , 1 , 2
1008 , 2 , 2
1009 , 1 , 2
1010 , 1 , 2
1011 , 1 , 2
1012 , 1 , 2
1013 , 2 , 2
1014 , 2 , 2
1015 , 2 , 2
1016 , 1 , 2
1017 , 1 , 2
1018 , 1 , 2
1019 , 1 , 2
1020 , 1 , 2
1021 , 1 , 2
1022 , 1 , 2
1023 , 1 , 2
1024 , 2 , 2
1025 , 2 , 2
1026 , 2 , 2
1027 , 1 , 1
1028 , 1 , 3
1029 , 2 , 2
1030 , 1 , 1
1031 , 1 , 2
1032 , 1 , 2
1033 , 0 , 0
1034 , 1 , 2
1035 , 1 , 2
1036 , 1 , 2
1037 , 0 , 0
1038 , 1 , 2
1039 , 1 , 3
1040 , 1 , 3
1041 , 1 , 2
1042 , 1 , 2
1043 , 1 , 2
1044 , 2 , 1
1045 , 1 , 1
1046 , 1 , 1
1047 , 2 , 1
1048 , 0 , 0
1049 , 1 , 1
1050 , 0 , 0
1051 , 1 , 1
1052 , 0 , 0
1053 , 1 , 1
1054 , 1 , 1
1055 , 0 , 0
1056 , 2 , 1
1057 , 0 , 0
1058 , 1 , 3
1059 , 1 , 2
1060 , 1 , 0
1061 , 0 , 0
1062 , 1 , 3
1063 , 1 , 3
1064 , 1 , 2
1065 , 1 , 2
1066 , 2 , 2
1067 , 2 , 2
1068 , 2 , 3
1069 , 1 , 2
1070 , 2 , 2
1071 , 1 , 2
1072 , 2 , 1
1073 , 2 , 1
1074 , 2 , 1
1075 , 2 , 3
1076 , 0 , 0
1077 , 2 , 3
1078 , 1 , 2
1079 , 1 , 2
1080 , 1 , 2
1081 , 1 , 1
1082 , 1 , 1
1083 , 1 , 2
1084 , 1 , 1
1085 , 1 , 1
1086 , 1 , 3
1087 , 1 , 3
1088 , 2 , 2
1089 , 2 , 2
1090 , 1 , 3
1091 , 2 , 2
1092 , 2 , 2
1093 , 0 , 0
1094 , 2 , 2
1095 , 1 , 2
1096 , 1 , 2
1097 , 1 , 3
1098 , 1 , 1
1099 , 1 , 3
1100 , 1 , 3
1101 , 1 , 1
1102 , 1 , 1
1103 , 1 , 3
1104 , 1 , 1
1105 , 2 , 1
1106 , 1 , 0
1107 , 1 , 1
1108 , 1 , 1
1109 , 1 , 0
1110 , 1 , 2
1111 , 0 , 0
1112 , 1 , 2
1113 , 1 , 2
1114 , 1 , 2
1115 , 1 , 2
1116 , 1 , 0
1117 , 1 , 3
1118 , 0 , 0
1119 , 1 , 2
1120 , 2 , 3
1121 , 2 , 2
1122 , 1 , 2
1123 , 1 , 2
1124 , 1 , 2
1125 , 1 , 2
1126 , 2 , 3
1127 , 0 , 0
1128 , 1 , 3
1129 , 2 , 2
1130 , 1 , 1
1131 , 1 , 2
1132 , 1 , 3
1133 , 0 , 0
1134 , 0 , 0
1135 , 1 , 1
1136 , 1 , 3
1137 , 1 , 3
1138 , 1 , 1
1139 , 1 , 1
1140 , 1 , 3
1141 , 2 , 3
1142 , 1 , 2
1143 , 2 , 0
1144 , 1 , 2
1145 , 2 , 2
1146 , 1 , 3
1147 , 1 , 2
1148 , 1 , 1
1149 , 1 , 1
1150 , 1 , 1
1151 , 1 , 1
1152 , 1 , 1
1153 , 1 , 1
1154 , 1 , 1
1155 , 1 , 1
1156 , 1 , 1
1157 , 1 , 2
1158 , 1 , 2
1159 , 1 , 2
1160 , 1 , 1
1161 , 1 , 3
1162 , 1 , 3
1163 , 2 , 1
1164 , 2 , 1
1165 , 1 , 3
1166 , 1 , 3
1167 , 1 , 1
1168 , 1 , 2
1169 , 2 , 3
1170 , 1 , 3
1171 , 1 , 1
1172 , 0 , 0
1173 , 1 , 3
1174 , 1 , 2
1175 , 1 , 1
1176 , 1 , 3
1177 , 1 , 2
1178 , 1 , 3
1179 , 2 , 1
1180 , 2 , 1
1181 , 1 , 3
1182 , 2 , 3
1183 , 1 , 3
1184 , 2 , 3
1185 , 0 , 0
1186 , 1 , 2
1187 , 1 , 2
1188 , 1 , 2
1189 , 1 , 2
1190 , 1 , 2
1191 , 2 , 2
1192 , 1 , 2
1193 , 1 , 1
1194 , 1 , 1
1195 , 1 , 1
1196 , 1 , 1
1197 , 1 , 3
1198 , 1 , 3
1199 , 1 , 3
1200 , 1 , 3
1201 , 1 , 3
1202 , 1 , 3
1203 , 1 , 1
1204 , 1 , 2
1205 , 1 , 2
1206 , 1 , 2
1207 , 1 , 1
1208 , 0 , 0
1209 , 2 , 2
1210 , 1 , 3
1211 , 1 , 2
1212 , 1 , 2
1213 , 1 , 2
1214 , 0 , 0
1215 , 1 , 2
1216 , 0 , 0
1217 , 2 , 3
1218 , 0 , 0
1219 , 1 , 3
1220 , 1 , 3
1221 , 1 , 3
1222 , 1 , 3
1223 , 2 , 3
1224 , 2 , 2
1225 , 2 , 1
1226 , 1 , 3
1227 , 1 , 2
1228 , 1 , 2
1229 , 1 , 3
1230 , 1 , 2
1231 , 1 , 2
1232 , 1 , 1
1233 , 1 , 3
1234 , 1 , 2
1235 , 1 , 3
1236 , 1 , 3
1237 , 1 , 3
1238 , 1 , 3
1239 , 0 , 0
1240 , 2 , 2
1241 , 1 , 1
1242 , 1 , 3
1243 , 2 , 0
1244 , 1 , 3
1245 , 1 , 2
1246 , 1 , 3
1247 , 2 , 2
1248 , 1 , 1
1249 , 1 , 1
1250 , 1 , 1
1251 , 1 , 1
1252 , 2 , 2
1253 , 1 , 1
1254 , 2 , 3
1255 , 2 , 3
1256 , 1 , 1
1257 , 1 , 3
1258 , 0 , 0
1259 , 1 , 3
1260 , 1 , 3
1261 , 1 , 3
1262 , 1 , 2
1263 , 1 , 3
1264 , 1 , 2
1265 , 1 , 3
1266 , 0 , 0
1267 , 1 , 3
1268 , 1 , 2
1269 , 1 , 2
1270 , 2 , 2
1271 , 1 , 2
1272 , 1 , 2
1273 , 1 , 1
1274 , 1 , 1
1275 , 1 , 1
1276 , 1 , 1
1277 , 1 , 1
1278 , 1 , 1
1279 , 1 , 1
1280 , 1 , 1
1281 , 1 , 1
1282 , 1 , 1
1283 , 1 , 1
1284 , 1 , 1
1285 , 0 , 0
1286 , 1 , 2
1287 , 2 , 1
1288 , 1 , 1
1289 , 0 , 0
1290 , 1 , 3
1291 , 1 , 3
1292 , 1 , 1
1293 , 1 , 3
1294 , 2 , 1
1295 , 1 , 1
1296 , 0 , 0
1297 , 2 , 3
1298 , 1 , 3
1299 , 1 , 3
1300 , 1 , 3
1301 , 0 , 0
1302 , 1 , 3
1303 , 1 , 3
1304 , 1 , 0
1305 , 0 , 0
1306 , 1 , 2
1307 , 1 , 2
1308 , 1 , 3
1309 , 1 , 3
1310 , 2 , 1
1311 , 1 , 1
1312 , 1 , 1
